Column,Data Type,Missing Values,Unique Values
ClientID,object,0,159
CycleNumber,int64,0,45
Group,int64,0,2
CycleWithPeakorNot,int64,0,2
ReproductiveCategory,int64,0,4
LengthofCycle,int64,0,32
MeanCycleLength,object,0,105
EstimatedDayofOvulation,object,0,24
LengthofLutealPhase,object,0,30
FirstDayofHigh,object,0,23
TotalNumberofHighDays,object,0,24
TotalHighPostPeak,object,0,9
TotalNumberofPeakDays,object,0,15
TotalDaysofFertility,object,0,26
TotalFertilityFormula,object,0,30
LengthofMenses,object,0,12
MeanMensesLength,object,0,77
MensesScoreDayOne,object,0,4
MensesScoreDayTwo,object,0,4
MensesScoreDayThree,object,0,4
MensesScoreDayFour,object,0,4
MensesScoreDayFive,object,0,4
MensesScoreDaySix,object,0,4
MensesScoreDaySeven,object,0,4
MensesScoreDayEight,object,0,3
MensesScoreDayNine,object,0,3
MensesScoreDayTen,object,0,2
MensesScoreDay11,object,0,3
MensesScoreDay12,object,0,2
MensesScoreDay13,object,0,2
MensesScoreDay14,object,0,2
MensesScoreDay15,object,0,2
TotalMensesScore,object,0,23
MeanBleedingIntensity,object,0,82
NumberofDaysofIntercourse,object,0,21
IntercourseInFertileWindow,object,0,3
UnusualBleeding,object,0,3
PhasesBleeding,object,0,5
IntercourseDuringUnusBleed,object,0,4
Age,object,0,24
AgeM,object,0,28
Maristatus,object,0,4
MaristatusM,object,0,5
Yearsmarried,object,0,21
Wedding,object,0,7
Religion,object,0,4
ReligionM,object,0,4
Ethnicity,object,0,6
EthnicityM,object,0,6
Schoolyears,object,0,6
SchoolyearsM,object,0,7
OccupationM,object,0,8
IncomeM,object,0,7
Height,object,0,15
Weight,object,0,57
Reprocate,object,0,8
Numberpreg,object,0,12
Livingkids,object,0,10
Miscarriages,object,0,6
Abortions,object,0,4
Medvits,object,0,3
Medvitexplain,object,0,79
Gynosurgeries,object,0,27
LivingkidsM,object,0,9
Boys,object,0,6
Girls,object,0,5
MedvitsM,object,0,3
MedvitexplainM,object,0,43
Urosurgeries,object,0,4
Breastfeeding,object,0,6
Method,object,0,8
Prevmethod,object,0,9
Methoddate,object,0,16
Whychart,object,0,6
Nextpreg,object,0,8
NextpregM,object,0,8
Spousesame,object,0,4
SpousesameM,object,0,3
Timeattemptpreg,object,0,2
BMI,object,0,112
