Column,Data Type
ClientID,object
CycleNumber,int64
Group,int64
CycleWithPeakorNot,int64
ReproductiveCategory,int64
LengthofCycle,int64
MeanCycleLength,float64
EstimatedDayofOvulation,float64
LengthofLutealPhase,float64
FirstDayofHigh,float64
TotalNumberofHighDays,float64
TotalHighPostPeak,float64
TotalNumberofPeakDays,float64
TotalDaysofFertility,float64
TotalFertilityFormula,float64
LengthofMenses,float64
MeanMensesLength,float64
MensesScoreDayOne,float64
MensesScoreDayTwo,float64
MensesScoreDayThree,float64
MensesScoreDayFour,float64
MensesScoreDayFive,float64
MensesScoreDaySix,float64
MensesScoreDaySeven,float64
MensesScoreDayEight,float64
MensesScoreDayNine,float64
MensesScoreDayTen,float64
MensesScoreDay11,float64
MensesScoreDay12,float64
MensesScoreDay13,float64
MensesScoreDay14,float64
MensesScoreDay15,float64
TotalMensesScore,float64
MeanBleedingIntensity,float64
NumberofDaysofIntercourse,float64
IntercourseInFertileWindow,float64
UnusualBleeding,float64
PhasesBleeding,float64
IntercourseDuringUnusBleed,float64
Age,float64
AgeM,float64
Maristatus,float64
MaristatusM,float64
Yearsmarried,float64
Wedding,object
Religion,float64
ReligionM,float64
Ethnicity,float64
EthnicityM,float64
Schoolyears,float64
SchoolyearsM,float64
OccupationM,float64
IncomeM,float64
Height,float64
Weight,float64
Reprocate,float64
Numberpreg,float64
Livingkids,float64
Miscarriages,float64
Abortions,float64
Medvits,float64
Medvitexplain,object
Gynosurgeries,object
LivingkidsM,float64
Boys,float64
Girls,float64
MedvitsM,float64
MedvitexplainM,object
Urosurgeries,object
Breastfeeding,float64
Method,float64
Prevmethod,float64
Methoddate,object
Whychart,float64
Nextpreg,float64
NextpregM,float64
Spousesame,float64
SpousesameM,float64
Timeattemptpreg,float64
BMI,float64
